"ond_id","ond_tekst_filmtitel","org_naam_aanvrager","org_naam_fabriek","ond_tekst_lengte_meters","ond_tekst_smalfilm","ond_tekst_categorie","ond_datum_keuring","ond_tekst_weeklijstnummer","ond_tekst_oordeel","ond_tekst_coupures","ond_datum_herkeuring","ond_tekst_herkeuring_weeklijstnummer","ond_tekst_herkeuring_oordeel","ond_tekst_herkeuring_coupures","vwz_url_cinemacontext","vwz_archivelink","ond_UUID"
"16045","Felix in Hollywood","Vroom & Dreesman (Den Haag)","Kodak (A)","70 meter","ja","fictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF039916","NL-HaNA/2.04.60/605///Dossier A3246/","0b941f26-7cc1-102d-a57f-005056a23d00"
"16046","De Graaf","Vroom & Dreesman (Den Haag)","Kodak (A)","70 meter","ja","fictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF012840","NL-HaNA/2.04.60/605///Dossier A3247/","0b9423c2-7cc1-102d-a57f-005056a23d00"
"16047","De Olifant doet zijn best","Vroom & Dreesman (Den Haag)","Kodak (A)","175 meter","ja","fictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF013631","NL-HaNA/2.04.60/605///Dossier A3248/","0b94285e-7cc1-102d-a57f-005056a23d00"
"16048","Mooi Nederland","Profilti Filmfabriek NV (Den Haag)","Profilti (N)","53 meter","nee","nonfictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF026180","NL-HaNA/2.04.60/605///Dossier A3249/","0b942cfa-7cc1-102d-a57f-005056a23d00"
"16049","Startklaar","Profilti Filmfabriek NV (Den Haag)","Profilti (N)","79 meter","nee","nonfictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF027000","NL-HaNA/2.04.60/605///Dossier A3250/","0b943236-7cc1-102d-a57f-005056a23d00"
"16050","De Alcohol en zijn Gevolgen A","Nationale Christen Geheelonthouders Vereeniging NCGOV (Utrecht)",,"244 meter","nee","nonfictie","1933-08-01","258","18 jaar","Geen","1933-08-21","260","14 jaar","Geen","http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF036676","NL-HaNA/2.04.60/605///Dossier A3251/","0b9436e6-7cc1-102d-a57f-005056a23d00"
"16051","De Alcohol en zijn Gevolgen B","Nationale Christen Geheelonthouders Vereeniging NCGOV (Utrecht)",,"337 meter","nee","nonfictie","1933-08-01","258","18 jaar","Geen","1933-08-21","260","14 jaar","Geen","http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF036675","NL-HaNA/2.04.60/605///Dossier A3252/","0b943b8c-7cc1-102d-a57f-005056a23d00"
"16052","De Alcohol en zijn Gevolgen C","Nationale Christen Geheelonthouders Vereeniging NCGOV (Utrecht)",,"308 meter","nee","nonfictie","1933-08-01","258","18 jaar","Geen","1933-08-21","260","14 jaar","Geen","http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF036674","NL-HaNA/2.04.60/605///Dossier A3253/","0b94403c-7cc1-102d-a57f-005056a23d00"
"16053","Geluidsjournaal Hollands Nieuws 30","Polygoon Filmfabriek NV (Haarlem)","Polygoon (N)","300 meter","nee","nonfictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF030084","NL-HaNA/2.04.60/605///Dossier A3254/","0b94450a-7cc1-102d-a57f-005056a23d00"
"16054","Nederland in klank en beeld C 31","Profilti Filmfabriek NV (Den Haag)","Profilti (N)","376 meter","nee","nonfictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF030126","NL-HaNA/2.04.60/605///Dossier A3255/","0b944c76-7cc1-102d-a57f-005056a23d00"
